id,house,electoral_name,civil_name,party,state,twitter,facebook
178863,câmara,ULDURICO JUNIOR,ULDURICO ALENCAR PINTO,PPL,BA,ulduricopinto,https://www.facebook.com/ulduricojunior
195866,câmara,VAIDON OLIVEIRA,FRANCISCO VAIDON OLIVEIRA,PROS,CE,VaidonOliveira,https://www.facebook.com/deputadofederalvaidon.oliveira
204385,câmara,VALDEVAN NOVENTA,JOSE VALDEVAM DE JESUS SANTOS,PSC,SE,dep_fed_noventa,NA
160610,câmara,VALMIR ASSUNÇÃO,VALMIR CARLOS DA ASSUNÇÃO,PT,BA,falavalmir,https://www.facebook.com/falavalmir
74376,câmara,VANDER LOUBET,VANDER LUIZ DOS SANTOS LOUBET,PT,MS,vanderloubet,https://www.facebook.com/vanderfazmais
141553,câmara,VANDERLEI MACRIS,VANDERLEI MACRIS,PSDB,SP,vanderleimacris,https://www.facebook.com/deputadovanderleimacris
204505,câmara,VAVÁ MARTINS,WAGNER BACH MARTINS,PRB,PA,VavaMartins,NA
204396,câmara,VERMELHO,NELSI COGUETTO MARIA,PSD,PR,NA,https://web.facebook.com/vermelho5577
74283,câmara,VICENTINHO,VICENTE PAULO DA SILVA,PT,SP,VICENTINHOPT,https://www.facebook.com/DeputadoFederalVicentinho
137070,câmara,VICENTINHO JÚNIOR,VICENTE ALVES DE OLIVEIRA JUNIOR,PR,TO,vicentinhojr,https://www.facebook.com/VicentinhoJr
204483,câmara,VILSON DA FETAEMG,VILSON LUIZ DA SILVA,PSB,MG,NA,NA
141555,câmara,VINICIUS CARVALHO,VINICIUS RAPOZO DE CARVALHO,PRB,SP,falecomvinicius,https://www.facebook.com/viniciuscarvalhooficial
204478,câmara,VINICIUS FARAH,VINICIUS MEDEIROS FARAH,MDB,RJ,Vinicius_Farah,NA
160591,câmara,VINICIUS GURGEL,VINICIUS DE AZEVEDO GURGEL,PR,AP,vinicius2828,https://www.facebook.com/deputadoviniciusgurgel
204532,câmara,VINICIUS POIT,VINICIUS LAZZER POIT,NOVO,SP,ViniciusPoit,NA
178992,câmara,VITOR LIPPI,VITOR LIPPI,PSDB,SP,DepVitorLippi,https://www.facebook.com/vitorlippi
204443,câmara,WAGNER MONTES,WAGNER MONTES DOS SANTOS,PRB,RJ,depwagnermontes,NA
160569,câmara,WALDENOR PEREIRA,WALDENOR ALVES PEREIRA FILHO,PT,BA,waldenorpereira,https://www.facebook.com/deputadowaldenorpereira
178952,câmara,WALTER ALVES,WALTER PEREIRA ALVES,MDB,RN,WalterAlvesRN,https://www.facebook.com/WalterAlvesRN1
160518,câmara,WELITON PRADO,WELITON FERNANDES PRADO,PROS,MG,pradoweliton,https://www.facebook.com/WelitonPrado
74043,câmara,WELLINGTON ROBERTO,JOSÉ WELLINGTON ROBERTO,PR,PB,wr22,https://www.facebook.com/depwellingtonroberto
